title,date,views,likes,comments,team_score,opponent_score
HARRY KANE PLAYING DEFENSIVE MIDFIELD! 🤬 West Ham vs Tottenham 1-0 PLAYER RATINGS with EXPRESSIONS,2021-10-25,58637,2709,404,1.0,0.0
WE HAVE LOST 4 DERBYS ALREADY! 🤬🤬 IVE HAD ENOUGH! West Ham (1) vs Tottenham (0) EXPRESSIONS REACTS,2021-10-24,138004,6831,967,,
IVE HAD ENOUGH OF THIS 🤬🤬! West Ham (1) vs Tottenham (0) - LIVE Watch Along With Expressions,2021-10-24,114675,3235,260,,
NUNO MUST HAVE THESE GUYS LISTENING TO RICKY MARTIN INSTEAD OF TRAINING! 🤬 West Ham vs Tottenham,2021-10-23,34745,2103,148,,
I THOUGHT I COULD I HAVE A NIGHT OFF BUT NO!! 🤬Vitesse 1 vs Tottenham 0 EXPRESSIONS REACTS,2021-10-21,97942,5181,705,,
IS EXPRESSIONS MOVING TO AMERICA? RANTS WANTS OLE OUT AND RIPS HARRY MAGUIRE!🤬BANTS SPORTS OOZ EP10,2021-10-20,65669,3167,609,,
EXPRESSIONS OOZING SIGNS! THANK YOU TO ALL MY FANS WHO MADE THIS POSSIBLE! ❤️ YOU CHANGED MY LIFE!,2021-10-18,83821,5910,791,,
MO MONEY MORE PROBLEMS LIKE BIGGIE SMALLS😂 NU-NO SUBS AGAIN! Newcastle 2 vs Tottenham 3 EXPRESSIONS,2021-10-17,59545,2930,306,,
Newcastle (2) vs Tottenham (3) LIVE WATCH ALONG With EXPRESSIONS,2021-10-17,115363,2950,83,,
WHERE IS HARRY KANE?🤬 NUNO HAS TO WIN SUNDAY! DELE TO NEWCASTLE? 😳 Newcastle vs Spurs EXPRESSIONS,2021-10-15,32859,1750,195,,
"NEWCASTLE WIN THE SHEIK LOTTERY,  RONALDO PLAYER OF THE MONTH THE PREM IS BACK! BANTS SPORTS OOZ 9",2021-10-13,49663,2100,690,,
"HALF HEARTED HARRY KANE 😭, RONALDO DROPPED LOSES IT WITH OLE, MO SALAH GOAT? BANTS SPORTS OOZ EP 8",2021-10-05,63677,2483,452,,
