date,title,views,likes,comments,team_score,opponent_score,result
2018-04-21,PAUL POGBA BOSSED IT! Manchester United 2-1 Tottenham Hotspur,179284,4731,544.0,2.0,1.0,win
2018-04-29,An OK Man Utd Season! Bryan ROBSON FanCam | Manchester United 2-1 Arsenal,17388,705,61.0,2.0,1.0,win
2018-05-04,Angry United Fan! Brighton 1-0 Manchester United,96663,1372,529.0,0.0,1.0,loss
2018-05-05,United are Boring! Brighton 1-0 Manchester United FLEX,21645,444,103.0,0.0,1.0,loss
2018-05-10,Going Backwards!  West Ham vs Man United 0-0 FANCAMS,70962,1702,586.0,0.0,0.0,draw
2018-05-13,Fans Were Shocking! Manchester United 1-0 Watford FANCAMS,196377,3926,965.0,1.0,0.0,win
2018-05-19,MOURINHO WON NOTHING! Chelsea 1-0 Manchester United FANCAMS,196559,3161,898.0,0.0,1.0,loss
2018-05-20,Uncensored FA CUP FINAL Vlog  Chelsea Manchester United 1-0,17185,444,85.0,1.0,0.0,win
2018-05-26,Manchester United Predicted LineUp 2018/19 Season With Transfers,53274,1195,375.0,1.0,8.0,loss
2018-06-09,"MANCHESTER UNITED POSSIBLE LINEUP 2018/19 FT FRED, ALDERWEIRELD, MILINKOVIC-SAVIC, SANDRO",48163,1386,314.0,1.0,8.0,loss
2018-06-14,Mourinho vs Anthony Martial! Manchester United Fixtures 2018/19 Reaction,34173,1052,386.0,1.0,8.0,loss
2018-07-17,Man Utd NEW Home Kit 2018/19 Review! Worst Home Kit Ever or Looks Great?,50160,1561,537.0,1.0,8.0,loss
2018-07-20,Manchester United 1-1 Club America | MATA Goal Saves It!,56769,1232,193.0,1.0,1.0,draw
2018-07-22,BORING Mourinho! Manchester United 0-0 San Jose Earthquakes,63664,1447,566.0,0.0,0.0,draw
2018-07-26,Manchester United 1-1 AC Milan | Alexis SANCHEZ Goal & Penalties Win It!,59847,1432,244.0,1.0,1.0,draw
2018-08-01,Manchester United 2-1 Real Madrid | Sanchez & Herrera Goals Win It!,51493,1641,199.0,2.0,1.0,win
2018-08-08,Manchester United 2018/19 Season Preview! Mourinho's Title?,56082,1607,518.0,1.0,8.0,loss
2018-08-10,MOURINHO Fights Back! Manchester United 2-1 Leicester City Fan Reaction,111141,3276,429.0,2.0,1.0,win
2018-11-28,MOURINHO IN or OUT? Manchester United 1-0 Young Boys Fan reaction,47640,1165,171.0,1.0,0.0,win
2018-12-01,MOURINHO TIME UP? Southampton 2-2 Manchester United Fan Call In!,65944,1396,298.0,2.0,2.0,draw
2018-12-06,"AFTV's Robbie, We threw it away! Manchester United vs Arsenal 2-2 Fancam",281790,3878,253.0,2.0,2.0,draw
2018-12-13,Mourinho is a BIG problem!  Valencia 2-1 Manchester United Fan Cam,69165,870,254.0,1.0,2.0,loss
2018-12-16,MOURINHO's Lost IT! Liverpool vs Manchester United 3-1 Fancam,73577,735,142.0,3.0,1.0,win
2018-12-22,FLEX! MOURINHO The VIRUS! Cardiff vs Manchester United 1-5 Fancam,239856,6240,700.0,1.0,5.0,loss
2018-12-30,POGBA IS NUMBER ONE! Man United 4-1 Bournemouth Fancam,13411,485,32.0,4.0,1.0,win
2019-01-03,A CLEAN SHEET!... with PHIL JONES!! | Newcastle United 0 - 2 Manchester United | Fan cam,44999,1269,175.0,2.0,0.0,win
2019-01-05,Goldbridge! Sell The DEADWOOD! Manchester United 2-0 Reading,94834,3491,664.0,2.0,0.0,win
2019-01-13,SHINGY | MIKE PHELAN UNDERRATED! Tottenham 0-1 Manchester United FanCam,186619,5295,492.0,1.0,0.0,win
2019-01-19,SELL LUKAKU! Manchester United vs Brighton 2-1 Fancam,21822,462,59.0,1.0,2.0,loss
2019-01-25,Goldbridge! AFTV and CHILL! Arsenal 1-3 Manchester United Match Reaction,205966,7974,657.0,3.0,1.0,win
2019-01-26,KELECHI! HERRERA Owned TORREIRA! Arsenal 1-3 Manchester United FanCam,380367,9158,810.0,3.0,1.0,win
2019-01-29,Goldbridge! SOLSKJAER TIME! Manchester United 2-2 Burnley Match Reaction,146451,3346,654.0,2.0,2.0,draw
2019-02-03,FLEX | RASHFORD ON FIRE | Leicester 0-1 Manchester United match review,111477,2622,213.0,1.0,0.0,win
2019-02-09,Flex! Solskjaer My Boy! Fulham Manchester United 0-3 Match Reaction,63706,1602,133.0,0.0,3.0,loss
2019-02-13,Manchester United Player Ratings! Man Utd vs PSG 0-2 | Man Utd News,50899,903,350.0,2.0,0.0,win
2019-02-18,Goldbridge! POGBA Beats HAZARD! Chelsea 0-2 Manchester United,147297,9105,653.0,2.0,0.0,win
2019-02-19,SOLSKJÆR true to his words! Chelsea 0-2 Manchester United FanCam,81190,1954,201.0,2.0,0.0,win
2019-02-24,FLEX! Solskjaer's Crisis! Manchester United Liverpool 0-0 | Man Utd News,303461,10144,1240.0,0.0,0.0,draw
2019-02-27,What Injury Crisis? Crystal Palace vs Man Utd 1-3 FanCam,138882,3449,287.0,3.0,1.0,win
2019-02-28,Normally I hate LUKAKU! Crystal Palace 1-3 Manchester United Fancam,54210,1640,119.0,3.0,1.0,win
2019-03-02,SOLSJKAER The Difference! Manchester United vs Southampton 3-2 Fancam,513926,15041,1483.0,2.0,3.0,loss
2019-03-06,Goldbridge! SOLSKJAER'S HEROES! PSG 1-3 Manchester United Match Reaction,273069,14518,902.0,3.0,1.0,win
2019-03-07,Its not over till its over!! PSG 1 - 3 Manchester United Fan Cam,250662,6396,260.0,3.0,1.0,win
2019-03-10,Troopz | Pogba got BADDED up! Arsenal 2 - 0 Manchester United Fan Cam,465640,9966,1981.0,0.0,2.0,loss
2019-03-16,SOPHIE! MAN UTD created nothing! Wolves vs Man Utd 2-1 FanCam,48401,968,259.0,1.0,2.0,loss
2019-03-17,FLEX! Man Utd deserved to lose! Wolves vs Man Utd 2-1 FanCam,21464,469,158.0,1.0,2.0,loss
2019-03-30,SOLSKJAER needs summer signings! Manchester United vs Watford 2-1 FanCam,283663,8636,1187.0,1.0,2.0,loss
2019-04-02,FLEX! UTD Lack Leaders! Wolves vs Man Utd 2-1 FanCam,142468,2469,905.0,1.0,2.0,loss
2019-04-10,Fred Over Matic! Manchester United 0-1 Barcelona FanCam,159140,6177,1152.0,0.0,1.0,loss
2019-04-11,Manchester United Player Ratings! Manchester United 0-1 Barcelona,26526,663,213.0,0.0,1.0,loss
2019-04-13,Man Utd 2-1 West Ham | Player Ratings,264076,7282,1402.0,1.0,2.0,loss
2019-04-16,Lingard + Rashford Whack! Barcelona 3-0 Manchester United FanCam,343521,7324,1795.0,0.0,3.0,loss
2019-04-17,COUTINHO to United? NEVER! Barcelona 3-0 Manchester United FanCam,114003,1909,498.0,0.0,3.0,loss
2019-04-21,Pogba Get Rid! Everton 4-0 Manchester United fancam,570436,10931,2753.0,0.0,4.0,loss
2019-04-24,Solskjaer Needs 500 Million! Manchester United 0-2 Manchester City FanCam,330911,5067,1378.0,0.0,2.0,loss
2019-04-28,Solskjaer Not To Blame! Manchester United 1-1 Chelsea FanCam,306882,7700,1518.0,1.0,1.0,draw
2019-04-29,Who was worse? ft 100 Percent Chelsea Manchester United 1-1 Chelsea FanCam,15116,379,38.0,1.0,1.0,draw
2019-05-05,Flex! Chong Only Positive! Huddersfield 1-1 Manchester United Match Reaction,233317,4110,1027.0,1.0,1.0,draw
2019-05-12,Herrera Huge Loss! Manchester United 0-2 Cardiff FanCam,787903,15139,3508.0,0.0,2.0,loss
2019-06-13,United Hijack Griezmann Transfer? Manchester United Fixtures 2019/20! Man Utd Transfer News,137726,3381,364.0,2.0,9.0,loss
2019-07-13,Flex! Manchester United 2-0 Perth Glory | Daniel James Looks Special!,317313,9516,1056.0,2.0,0.0,win
2019-07-17,Flex! Manchester United 4-0 Leeds United | Wan-Bissaka a Game Changer!,314848,9345,855.0,4.0,0.0,win
2019-07-20,Flex! Wan-Bissaka & Greenwood SuperStars! Manchester United 1-0 Inter Milan Match Reaction,337875,11511,1210.0,1.0,0.0,win
2019-07-25,FLEX! Manchester United 2-1 Tottenham Match Reaction,401020,11842,1325.0,2.0,1.0,win
2019-07-30,Manchester United 1-0 Kristiansund! Solskjaer Needs Backing!,84702,2119,162.0,1.0,0.0,win
2019-07-31,FLEX! Dybala Move a Risk! Manchester United 1-0 Kristiansund! Match Reaction,58004,1413,330.0,1.0,0.0,win
2019-08-03,FLEX! Pogba Needs Help! Manchester United 2 - 2 AC Milan! Match Reaction,322669,10247,1108.0,2.0,2.0,draw
2019-08-24,LINGARD GETS A ONE! Manchester United 1-2 Crystal Palace Player Ratings,98151,2074,532.0,1.0,2.0,loss
2019-08-31,FLEX! DANIEL JAMES OUR ONLY HOPE! Southampton 1-1 Man Utd FanCam,51461,1001,245.0,1.0,1.0,draw
2019-09-14,FLEX! FRED CHANGED THE GAME! Manchester United 1-0 Leicester,70502,1569,164.0,1.0,0.0,win
2019-10-06,SOLSKJAER OUT OF DEPTH! Newcastle 1-0 Manchester United FanCam,159916,2904,673.0,0.0,1.0,loss
2019-10-24,WILLIAMS ONLY POSITIVE | Partizan 0-1 Manchester United Fan Cam,56422,1153,135.0,1.0,0.0,win
2019-10-27,SOLSKJAER SCORES SIX? Norwich 1-3 Manchester United Player Ratings,114957,2397,338.0,3.0,1.0,win
2019-11-24,FLEX! OLE’S DECISIONS DIDN’T MAKE SENSE! Sheffield United 3-3 Manchester United match review,42111,837,164.0,3.0,3.0,draw
2019-11-28,FC Astana 2-1 Manchester United Flex Match Reaction & Vlog,58904,1466,247.0,1.0,2.0,loss
2019-12-01,FLEX! PERIERA WAS AWFUL! Manchester United 2-2 Aston Villa Match Reaction,185215,4018,958.0,2.0,2.0,draw
2019-12-07,FLEX! MARTIAL WAS CLINICAL! Manchester City 1-2 Manchester United Match Reaction,307511,7711,650.0,2.0,1.0,win
2019-12-15,SAEED! UNITED BOTTLED IT! Manchester United 1-1 Everton Fan Cam,57721,1448,414.0,1.0,1.0,draw
2019-12-19,RASHFORD SCORES 8! Manchester United 3-0 Colchester Player Ratings,38944,871,85.0,3.0,0.0,win
2019-12-22,UNITED WERE EMBARRASSING! Watford 2-0 Manchester United Final Word,256629,4904,1314.0,0.0,2.0,loss
2020-01-01,RANTS! SOLSKJAER CLUELESS! Arsenal 2-0 Manchester United FanCam,177134,3707,825.0,0.0,2.0,loss
2020-01-02,UNITED DIDN’T TURN UP! Arsenal 2-0 Manchester United Final Word,288218,5764,939.0,0.0,2.0,loss
2020-01-04,GREENWOOD WAS ISOLATED! Wolves 0-0 Manchester United Fan Cam,25253,520,108.0,0.0,0.0,draw
2020-01-07,SOLSKJAER TEAM PICKS BAFFLING! Manchester United 1-3 Manchester City FanCam,144213,2816,638.0,1.0,3.0,loss
2020-01-08,Flex gives Ole 0! Manchester United 1-3 Manchester City Player Ratings,312059,5661,1566.0,1.0,3.0,loss
2020-01-11,ED WOODWARD FAILING UNITED! Manchester United 4-0 Norwich Fan Cam,60773,1391,161.0,4.0,0.0,win
2020-01-16,OLE TRUSTING MATA! Manchester United 1-0 Wolves Fan Cam,56524,1395,376.0,1.0,0.0,win
2020-01-19,UNITED WAY OFF LIVERPOOL! Liverpool 2-0 Manchester United Final Word,227775,3742,977.0,0.0,2.0,loss
2020-01-22,SOLSKJAER'S BOTTLE JOBS! Manchester United 0-2 Burnley FanCam,55271,1028,150.0,0.0,2.0,loss
2020-01-23,FLEX! UNITED ALWAYS BOTTLE IT! Manchester United 0-2 Burnley Flex's Final Word,354025,7218,1273.0,0.0,2.0,loss
2020-01-26,MAGUIRE AND SOLSJKAER SCORE 9! Manchester United 6-0 Tranmere Player Ratings,137400,2930,479.0,6.0,0.0,win
2020-01-30,FLEX! UNITED RESTORED SOME PRIDE! Manchester City 0-1 Manchester United Flex's Final Word,113263,2231,306.0,1.0,0.0,win
2020-02-01,FLEX! SAME OLD PROBLEMS! Manchester United 0-0 Wolves Flex's Final Word,42730,876,207.0,0.0,0.0,draw
2020-02-17,ERIC BAILLY SUPERB! Chelsea 0-2 Manchester United FanCam,39693,895,84.0,2.0,0.0,win
2020-02-18,SOLSKJÆR SCORES NINE! Chelsea 0-2 Manchester United Player Ratings,141018,3394,353.0,2.0,0.0,win
2020-02-20,FLEX! MARTIAL SAVES THE DAY! Club Brugge 1-1 Manchester United Flex's Final Word,330535,8905,952.0,1.0,1.0,draw
2020-02-23,FLEX! SOLSKJAER'S BIG WEEK! Manchester United 3-0 Watford Flex's Final Word,34907,1028,150.0,3.0,0.0,win
2020-02-27,IGHALO GOAL BONUS! Manchester United 5-0 Club Brugge FanCam,59787,1792,215.0,5.0,0.0,win
2020-02-28,FLEX! ARSENAL & CHILL FOR OLE! Manchester United 5-0 Club Brugge Flex's Final Word,118326,3233,504.0,5.0,0.0,win
2020-03-01,FLEX! UNITED INCONSISTENCY CONTINUES! Everton 1-1 Manchester United Flex's Final Word,255995,6641,860.0,1.0,1.0,draw
2020-03-05,IGHALO GOAL KING! Derby County 0-3 Manchester United FanCam,202719,6001,486.0,3.0,0.0,win
2020-03-06,SOLSKJAER GETS JOB DONE! Derby 0-3 Manchester United Flex's Final Word,34956,997,53.0,3.0,0.0,win
2020-03-08,SOLSKJÆR SCORES TEN! Manchester United 2-0 Manchester City Player Ratings,684052,19186,1857.0,2.0,0.0,win
2020-03-12,FLEX! UNITED WERE EMPHATIC! LASK 0-5 Manchester United Flex's Final Word,326764,9025,600.0,5.0,0.0,win
2020-03-17,Manchester United vs Tottenham 08/09 CLASSIC | with Mark Goldbridge LIVE,96666,2461,56.0,0.0,8.0,loss
2020-05-21,Man Utd Line Up 2020/21 with Transfers! Feat Jadon Sancho,238413,8066,648.0,2.0,0.0,win
2020-06-19,GOLDBRIDGE! Tottenham 1-1 Manchester United Match Reaction,225300,10070,902.0,1.0,1.0,draw
2020-06-24,ADAM! Solskjaer MasterClass! Manchester United 3-0 Sheffield United FanCam,305421,17958,778.0,3.0,0.0,win
2020-06-25,GOLDBRIDGE Best Bits MAN UTD 3-0 SHEFFIELD UNITED,72256,3412,163.0,0.0,3.0,loss
2020-06-27,GOLDBRIDGE! MAGUIRE TIME! NORWICH 1-2 MANCHESTER UNITED Match Reaction,186018,6240,574.0,2.0,1.0,win
2020-06-30,RICKY! POGBA AND BRUNO WORKS! Brighton 0-3 Manchester United FanCam,387122,15667,1161.0,3.0,0.0,win
2020-07-01,10S FOR BRUNO! Brighton 0-3 Manchester United,76326,2658,339.0,3.0,0.0,win
2020-07-04,Ricky! MARTIAL OUR BEST NO.9! Manchester United 5-2 Bournemouth Fan Cam,537446,20001,1781.0,5.0,2.0,win
2020-07-09,MASON GREENWOOD SCORES 9! Aston Villa 0-3 Manchester United Player Ratings,469313,19994,1793.0,3.0,0.0,win
2020-07-13,RICKY! MARTIAL IS UNBELIEVABLE! Manchester United 2-2 Southampton FanCam,429434,12414,1633.0,2.0,2.0,draw
2020-07-14,MARTIAL SCORES A 9! Manchester United 2-2 Southampton Player Ratings,80104,2131,622.0,2.0,2.0,draw
2020-07-16,FLEX! RASHFORD MOTM! Crystal Palace 0-2 Manchester United Flex's Final Word,423202,16432,1441.0,2.0,0.0,win
2020-07-19,DE GEA SCORES 0! Manchester United 1-3 Chelsea Player Ratings,749199,21217,4450.0,1.0,3.0,loss
2020-07-22,GREENWOOD SCORES 7! Manchester United 1-1 West Ham Player Ratings,489852,14563,2888.0,1.0,1.0,draw
2020-07-26,RICKY! BRUNO PLAYER OF THE SEASON! LEICESTER 0-2 MANCHESTER UNITED Fan Cam,620334,35676,2018.0,2.0,0.0,win
2020-08-05,Jesse Lingard Scores 7! Manchester United 2-1 Lask Linz Player Ratings,360179,13312,1155.0,2.0,1.0,win
2020-10-04,Goldbridge! Manchester United 1-6 Tottenham Match Reaction,457198,11318,1251.0,1.0,6.0,loss
2021-01-01,GOLDBRIDGE! Manchester United 2-1 Aston Villa Match Reaction,375378,18079,680.0,2.0,1.0,win
2021-01-20,GOLDBRIDGE! Fulham 1-2 Manchester United Match Reaction,310482,11098,530.0,2.0,1.0,win
2021-01-27,GOLDBRIDGE! Manchester United 1-2 Sheffield United Match Reaction,394605,11094,1083.0,1.0,2.0,loss
2021-01-30,GOLDBRIDGE! Arsenal 0-0 Manchester United Match Reaction,255179,7494,841.0,0.0,0.0,draw
2021-02-06,BETH! POGBA SUB CHANGED GAME! Manchester United 3-3 Everton Fan Cam,36504,1046,358.0,3.0,3.0,draw
2021-02-09,GOLDBRIDGE! Manchester United 1-0 West Ham Match Reaction,215853,7129,563.0,1.0,0.0,win
2021-02-14,GOLDBRIDGE! West Brom 1-1 Manchester United Match Reaction,245724,8135,734.0,1.0,1.0,draw
2021-02-18,BETH! RASHFORD BACK ON TRACK! Real Sociedad 0-4 Manchester United Fan Cam,323497,12581,659.0,4.0,0.0,win
2021-02-21,GOLDBRIDGE! Manchester United 3-1 Newcastle Match Reaction,235128,9150,571.0,3.0,1.0,win
2021-02-25,BETH! BAILLY SHOULD START! Manchester United 0-0 Real Sociedad Match Reaction,188398,6287,446.0,0.0,0.0,draw
2021-03-03,3rd 0-0 IN A ROW! DIDN'T PLAY TO WIN! C. Palace 0-0 Man United | LIVE Fan Forum,86910,2435,229.0,0.0,0.0,draw
2021-03-11,GOLDBRIDGE! Manchester United 1-1 AC Milan Match Reaction,273499,8598,815.0,1.0,1.0,draw
2021-03-14,GOLDBRIDGE! Manchester United 1-0 West Ham Match Reaction,225850,8528,578.0,1.0,0.0,win
2021-03-21,FOXES WANTED IT MORE! BOTTLERS! Leicester City 3-1 Man United | LIVE Fan Forum,491698,12285,1428.0,1.0,3.0,loss
2021-04-04,RICKY! LUKE SHAW MOTM! Manchester United 2-1 Brighton Fan Cam,295230,9815,764.0,2.0,1.0,win
2021-04-08,RICKY! LINDELOF SUPERB! Granada 0-2 Manchester United Fan Cam,240460,9163,664.0,2.0,0.0,win
2021-04-09,FLEX! UNITED PERFORMANCE MUST IMPROVE! Granada 0-2 Manchester United FINAL WORD!,12407,490,100.0,2.0,0.0,win
2021-04-11,RICKY! CAVANI OUR BEST STRIKER! Tottenham Hotspur 1-3 Manchester United Match Fan Cam,596087,20382,1059.0,3.0,1.0,win
2021-04-15,RICKY! CAVANI UNBELIEVABLY IMPORTANT! Manchester United 2-0 Granada Fan Cam,238551,7782,486.0,2.0,0.0,win
2021-04-18,GOLDBRIDGE! Manchester United 3-1 Burnley Match Reaction,230137,8439,348.0,3.0,1.0,win
2021-04-25,RICKY! IS SOMETHING WRONG WITH CAVANI??? Leeds 0-0 Manchester United Fan Cam,227151,7152,744.0,0.0,0.0,draw
2021-04-29,RICKY!! CAVANI DIFFERENT GRAVY! Manchester United 6-2 Roma Fan Cam,437599,22044,835.0,6.0,2.0,win
2021-05-06,RICKY! DE GEA ABSOLUTELY SUPERB!! Roma (5) 3-2 (8) Manchester United Fan Cam,320979,14429,754.0,3.0,5.0,loss
2021-05-09,RICKY! MAGUIRE WILL BE A BIG MISS! Aston Villa 1-3 Manchester United Fan Cam,351586,12613,929.0,3.0,1.0,win
2021-05-11,FLEX! SOLSJKAER TEAM CHANGES NECESSARY! Manchester United 1-2 Leicester City Flex's Final Word,221951,8081,937.0,1.0,2.0,loss
2021-05-13,GIFTED LIVERPOOL TOP 4 & SANCHO! Manchester United 2-4 Liverpool | LIVE Fan Forum,420009,10877,1360.0,2.0,4.0,loss
2021-05-18,FLEX! OLE MUST WIN EUROPA! Manchester United 1-1 Fulham Flex's Final Word,284902,8829,794.0,1.0,1.0,draw
2021-05-23,BETH! VAN DE BEEK OVER McFRED! Wolves 1-2 Manchester United Match Reaction,264695,10268,538.0,2.0,1.0,win
2021-05-26,GOLDBRIDGE! Villarreal (p) 1-1 Manchester United Europa League Final Match Reaction,499190,13290,1888.0,1.0,1.0,draw
2021-05-27,SOLSJKAER WAS SCARED!! VIllarreal (p) 1-1 Man United Flex's Final Word,441172,9948,1828.0,1.0,1.0,draw
2021-05-29,"MAN UTD Line Up 2021/22 With Transfers! Feat Jadon Sancho, Rice, Kounde",196436,7145,1042.0,2.0,1.0,win
2021-06-21,"Pogba €500,000 A-Week Deal? | Man Utd Transfer News",85514,3229,258.0,0.0,0.0,draw
2021-07-18,GOLDBRIDGE! Derby 1-2 Manchester United Match Reaction,164165,5818,295.0,2.0,1.0,win
2021-07-24,GOLDBRIDGE! QPR 4-2 Manchester United Match Reaction,160708,4470,506.0,2.0,4.0,loss
2021-07-28,GOLDBRIDGE! Manchester United 2-2 Brentford Match Reaction,159427,4969,358.0,2.0,2.0,draw
2021-08-07,RICKY! MATIC SUPERB! Man United 4-0 Everton | FAN VLOG,291587,9261,641.0,4.0,0.0,win
2021-10-24,SOLSKJAER AIN'T THE ONE! Manchester United 0-5 Liverpool | BETH'S FAN VLOG,149147,4868,807.0,0.0,5.0,loss
2021-10-30,SOLSKJAER Copies CONTE! Tottenham 0-3 Manchester United | ADAM'S FAN VLOG,57425,1876,306.0,3.0,0.0,win
2021-11-28,SANCHO'S ARRIVAL! Chelsea 1-1 Manchester United | ADAM'S FAN VLOG,42281,1689,193.0,1.0,1.0,draw
2021-12-02,RANGNICK'S FRESH START! Manchester United 3-2 Arsenal | BETH'S FAN VLOG,414681,14787,696.0,3.0,2.0,win
2021-12-05,RANGNICK'S THE MAN! Manchester United 1-0 Crystal Palace | HARRY'S FAN VLOG,64575,2421,180.0,1.0,0.0,win
2021-12-08,GOLDBRIDGE! Manchester United 1-1 Young Boys Match Reaction,240032,7490,655.0,1.0,1.0,draw
