title,date,views,likes,comments,team_score,opponent_score
DE JONG Transfer Setback! TEN HAG Transfer Demands! Man Utd Transfer News,2022-05-13,226397,7194,577.0,,
Ten Hag's BIG Transfer Meeting! Man Utd News,2022-05-12,163258,4133,269.0,,
TEN Hag Wants DE LIGT & DE JONG! Man Utd Transfer News,2022-05-12,226227,6906,587.0,,
"UNITED ""PUSHING"" For DE JONG Transfer! Man Utd Transfer News",2022-05-12,203567,6865,532.0,,
DE JONG To UNITED 95% DONE! Man Utd Transfer News,2022-05-11,323455,11650,1164.0,,
MANCHESTER UNITED vs NOTTS FOREST LIVE FA Youth Cup Final Watchalong,2022-05-11,357765,7589,79.0,,
FA YOUTH CUP FINAL WILL BE SPECIAL! Manchester United vs Nottingham Forest | Adam’s Road Trip,2022-05-11,22092,851,68.0,,
UNITED In For MUKIELE & BISSOUMA! Man Utd Transfer News,2022-05-11,158438,4634,302.0,,
NUNEZ Transfer Race Hots Up! Man Utd Transfer News,2022-05-11,154503,5238,393.0,,
Ten Hag Calls Out United Players! Man Utd News,2022-05-10,175799,3982,291.0,,
Ten Hag & Rangnick DREAM TEAM! ROB DAWSON Man Utd News,2022-05-10,118694,3439,217.0,,
Ten Hag's Transfer Bargain Hunt! Man Utd News,2022-05-10,142143,3593,377.0,,
RANGNICK's Transfer Risk! Man Utd News,2022-05-09,198932,5589,360.0,,
TEN HAG's TRANSFER PRIORITY! FABRIZIO ROMANO Man Utd News,2022-05-09,246298,7434,415.0,,
NKUNKU Transfer Blow! POGBA Stays? Man Utd News,2022-05-09,155806,4595,354.0,,
Ten Hag's Ronaldo Headache! Man Utd News,2022-05-08,143487,3256,323.0,,
SELL THEM ALL! GOLDBRIDGE Rant! Man Utd News,2022-05-08,372795,12081,1291.0,,
UNITED FIVE YEARS AWAY FROM TITLE! Brighton 4-0 Manchester United | SANTINO'S FAN VLOG,2022-05-07,21487,322,77.0,0.0,4.0
SHIP TELLES OUT FOR BRANDON! Brighton 4-0 Manchester United | ADE'S FAN VLOG,2022-05-07,18335,353,73.0,0.0,4.0
