title,date,views,likes,comments
Ten Hag's HUGE Transfer Budget! Man Utd News,2022-05-14T20:14:11Z,274944,8235,682
Big Player Fall Out! De Jong Transfer Latest! Man Utd News,2022-05-14T11:21:12Z,247091,7837,598
Ten Hag's Warning! Man Utd Transfer News,2022-05-13T20:14:11Z,149102,3506,301
De Jong AND Phillips Transfer Pursuit! Man Utd Transfer News,2022-05-13T13:47:00Z,98348,3009,269
DE JONG Transfer Setback! TEN HAG Transfer Demands! Man Utd Transfer News,2022-05-13T09:54:42Z,226397,7194,577
Ten Hag's BIG Transfer Meeting! Man Utd News,2022-05-12T18:57:00Z,163258,4133,269
TEN Hag Wants DE LIGT & DE JONG! Man Utd Transfer News,2022-05-12T13:24:15Z,226227,6906,587
"UNITED ""PUSHING"" For DE JONG Transfer! Man Utd Transfer News",2022-05-12T09:45:17Z,203567,6865,532
DE JONG To UNITED 95% DONE! Man Utd Transfer News,2022-05-11T22:21:24Z,323455,11650,1164
MANCHESTER UNITED vs NOTTS FOREST LIVE FA Youth Cup Final Watchalong,2022-05-11T20:56:43Z,357765,7589,79
FA YOUTH CUP FINAL WILL BE SPECIAL! Manchester United vs Nottingham Forest | Adam’s Road Trip,2022-05-11T16:00:21Z,22092,851,68
UNITED In For MUKIELE & BISSOUMA! Man Utd Transfer News,2022-05-11T13:51:06Z,158438,4634,302
NUNEZ Transfer Race Hots Up! Man Utd Transfer News,2022-05-11T09:53:20Z,154503,5238,393
Ten Hag Calls Out United Players! Man Utd News,2022-05-10T20:16:37Z,175799,3982,291
Ten Hag & Rangnick DREAM TEAM! ROB DAWSON Man Utd News,2022-05-10T15:11:23Z,118694,3439,217
Ten Hag's Transfer Bargain Hunt! Man Utd News,2022-05-10T10:13:21Z,142143,3593,377
RANGNICK's Transfer Risk! Man Utd News,2022-05-09T20:11:36Z,198932,5589,360
TEN HAG's TRANSFER PRIORITY! FABRIZIO ROMANO Man Utd News,2022-05-09T14:54:39Z,246298,7434,415
NKUNKU Transfer Blow! POGBA Stays? Man Utd News,2022-05-09T10:41:06Z,155806,4595,354
Ten Hag's Ronaldo Headache! Man Utd News,2022-05-08T20:16:30Z,143487,3256,323
SELL THEM ALL! GOLDBRIDGE Rant! Man Utd News,2022-05-08T09:39:46Z,372795,12081,1291
UNITED FIVE YEARS AWAY FROM TITLE! Brighton 4-0 Manchester United | SANTINO'S FAN VLOG,2022-05-07T20:45:02Z,21487,322,77
SHIP TELLES OUT FOR BRANDON! Brighton 4-0 Manchester United | ADE'S FAN VLOG,2022-05-07T20:30:00Z,18335,353,73
